Demographics,nan,nan,Male,Female,,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),,18-24,25-34,35-44,45-54,55-64,,Always,Often,Sometimes,Rarely,Never,,Always,Often,Sometimes,Rarely,Never,,Denny's,Jameson,M&S,Baileys,Coca Cola,Smirnoff,Tesco,Tayto,nan,Dunnes Stores,Cadbury's,Powers,Lindt,Ballymaloe,Heineken,Other Brands,Roses,Absolut,Guinness,Quality Street,No Group,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,TV,Radio,"Print media eg newspapers, magazines, flyers","Out of Home eg billboards, posters",Tiktok,Twitter,Facebook,Instagram,General Online advertising,Email,Other,,nan,nan,nan
Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15%,,17%,13%, ,11%,15%,18%,17%,13%, ,19%,16%,11%,14%,17%, ,0.205533596837945,0.169270833333333,0.0957854406130268,0.0574712643678161,0.117647058823529, ,0.304878048780488,0.28996282527881,0.0944309927360775,0.0277777777777778,0.0350877192982456, ,0.0833333333333333,0.161904761904762,0.166666666666667,0.166666666666667,0.12280701754386,0.0754716981132075,0.295454545454545,0.0967741935483871,0.0740740740740741,0.357142857142857,0.127340823970037,0.181818181818182,0.132075471698113,0.0555555555555556,0.158730158730159,0.141509433962264,0.0892857142857143,0.3125,0.111111111111111,0.184210526315789,0, ,0.123134328358209,0.126984126984127,0.183673469387755,0.111111111111111,0.161290322580645,0.277777777777778,0.160377358490566,0.148936170212766,0.178082191780822,0.173913043478261,0, ,0.158227848101266,0.151315789473684,0.121495327102804,0.12037037037037,0.186602870813397,0.216981132075472,0.198051948051948,0.164804469273743,0.141955835962145,0.155913978494624,0, ,0.152173913043478,0.0902777777777778,0.15702479338843
"Celebrity endorsements
 - Neither",263,,116,147, ,80,62,76,28,17, ,30,64,64,60,45, ,58,101,82,18,4, ,17,67,133,36,10, ,1,26,5,80,17,16,6,29,5,5,82,3,14,4,16,34,20,3,27,6,0, ,65,15,6,10,23,4,40,51,35,12,2, ,128,73,55,57,64,22,70,109,81,48,3, ,56,41,182
,26%,,24%,29%, ,28%,22%,27%,25%,32%, ,23%,28%,25%,28%,26%, ,0.229249011857708,0.263020833333333,0.314176245210728,0.206896551724138,0.235294117647059, ,0.207317073170732,0.24907063197026,0.322033898305085,0.2,0.175438596491228, ,0.0833333333333333,0.247619047619048,0.208333333333333,0.261437908496732,0.298245614035088,0.30188679245283,0.136363636363636,0.311827956989247,0.185185185185185,0.178571428571429,0.307116104868914,0.272727272727273,0.264150943396226,0.222222222222222,0.253968253968254,0.320754716981132,0.357142857142857,0.1875,0.230769230769231,0.157894736842105,0, ,0.242537313432836,0.238095238095238,0.122448979591837,0.222222222222222,0.370967741935484,0.222222222222222,0.377358490566038,0.271276595744681,0.23972602739726,0.260869565217391,0.181818181818182, ,0.270042194092827,0.240131578947368,0.257009345794392,0.263888888888889,0.30622009569378,0.207547169811321,0.227272727272727,0.304469273743017,0.255520504731861,0.258064516129032,0.3, ,0.304347826086957,0.284722222222222,0.25068870523416
"Celebrity endorsements
 - Not very impactful",252,,103,149, ,83,71,62,28,8, ,42,56,65,51,38, ,53,107,74,15,3, ,10,52,140,45,5, ,6,19,11,84,16,15,9,28,4,4,77,2,12,6,18,19,15,1,29,13,0, ,68,15,13,11,15,3,26,50,36,12,3, ,128,79,49,52,52,26,80,89,88,38,3, ,57,47,168
,25%,,21%,29%, ,30%,26%,22%,25%,15%, ,33%,25%,25%,24%,22%, ,0.209486166007905,0.278645833333333,0.283524904214559,0.172413793103448,0.176470588235294, ,0.121951219512195,0.193308550185874,0.338983050847458,0.25,0.087719298245614, ,0.5,0.180952380952381,0.458333333333333,0.274509803921569,0.280701754385965,0.283018867924528,0.204545454545455,0.301075268817204,0.148148148148148,0.142857142857143,0.288389513108614,0.181818181818182,0.226415094339623,0.333333333333333,0.285714285714286,0.179245283018868,0.267857142857143,0.0625,0.247863247863248,0.342105263157895,0, ,0.253731343283582,0.238095238095238,0.26530612244898,0.244444444444444,0.241935483870968,0.166666666666667,0.245283018867925,0.265957446808511,0.246575342465753,0.260869565217391,0.272727272727273, ,0.270042194092827,0.259868421052632,0.228971962616822,0.240740740740741,0.248803827751196,0.245283018867925,0.25974025974026,0.248603351955307,0.277602523659306,0.204301075268817,0.3, ,0.309782608695652,0.326388888888889,0.231404958677686
"Celebrity endorsements
 - Not at all impactful",263,,141,122, ,69,81,69,31,13, ,17,56,75,61,54, ,49,86,72,49,7, ,7,32,92,92,39, ,3,32,4,75,14,17,9,21,15,8,65,3,20,7,6,26,13,2,32,10,0, ,91,20,14,13,6,3,13,47,41,9,6, ,109,78,66,62,30,13,66,68,74,46,4, ,31,35,204
,26%,,29%,24%, ,25%,29%,25%,27%,25%, ,13%,25%,29%,29%,31%, ,0.193675889328063,0.223958333333333,0.275862068965517,0.563218390804598,0.411764705882353, ,0.0853658536585366,0.118959107806691,0.222760290556901,0.511111111111111,0.684210526315789, ,0.25,0.304761904761905,0.166666666666667,0.245098039215686,0.245614035087719,0.320754716981132,0.204545454545455,0.225806451612903,0.555555555555556,0.285714285714286,0.243445692883895,0.272727272727273,0.377358490566038,0.388888888888889,0.0952380952380952,0.245283018867925,0.232142857142857,0.125,0.273504273504274,0.263157894736842,0, ,0.33955223880597,0.317460317460317,0.285714285714286,0.288888888888889,0.0967741935483871,0.166666666666667,0.122641509433962,0.25,0.280821917808219,0.195652173913043,0.545454545454545, ,0.229957805907173,0.256578947368421,0.308411214953271,0.287037037037037,0.143540669856459,0.122641509433962,0.214285714285714,0.189944134078212,0.233438485804416,0.247311827956989,0.4, ,0.168478260869565,0.243055555555556,0.28099173553719
"Health credentials
 - Very impactful ",165,,85,80, ,46,38,48,21,12, ,22,32,55,29,27, ,64,60,31,9,1, ,27,61,51,18,7, ,0,16,4,43,8,7,10,9,5,4,34,1,7,1,15,22,5,4,30,5,0, ,38,11,8,7,13,6,16,30,21,14,1, ,83,57,44,49,44,27,71,68,56,44,2, ,22,23,128
,16%,,17%,16%, ,16%,14%,17%,19%,23%, ,17%,14%,21%,14%,15%, ,0.25296442687747,0.15625,0.118773946360153,0.103448275862069,0.0588235294117647, ,0.329268292682927,0.226765799256506,0.123486682808717,0.1,0.12280701754386, ,0,0.152380952380952,0.166666666666667,0.140522875816993,0.140350877192982,0.132075471698113,0.227272727272727,0.0967741935483871,0.185185185185185,0.142857142857143,0.127340823970037,0.0909090909090909,0.132075471698113,0.0555555555555556,0.238095238095238,0.207547169811321,0.0892857142857143,0.25,0.256410256410256,0.131578947368421,0, ,0.141791044776119,0.174603174603175,0.163265306122449,0.155555555555556,0.209677419354839,0.333333333333333,0.150943396226415,0.159574468085106,0.143835616438356,0.304347826086957,0.0909090909090909, ,0.175105485232068,0.1875,0.205607476635514,0.226851851851852,0.210526315789474,0.254716981132075,0.230519480519481,0.189944134078212,0.176656151419558,0.236559139784946,0.2, ,0.119565217391304,0.159722222222222,0.176308539944904
"Health credentials
 - Fairly Impactful",410,,180,230, ,113,121,110,47,19, ,58,85,100,89,78, ,94,171,107,32,6, ,31,117,181,66,15, ,2,39,7,150,21,20,16,38,8,13,120,5,22,9,27,47,22,8,45,15,0, ,98,24,24,24,25,7,46,84,62,14,2, ,206,134,81,97,84,51,120,159,141,80,5, ,80,64,289
,41%,,37%,45%, ,40%,44%,39%,42%,36%, ,45%,38%,38%,42%,44%, ,0.371541501976285,0.4453125,0.409961685823755,0.367816091954023,0.352941176470588, ,0.378048780487805,0.434944237918216,0.438256658595642,0.366666666666667,0.263157894736842, ,0.166666666666667,0.371428571428571,0.291666666666667,0.490196078431373,0.368421052631579,0.377358490566038,0.363636363636364,0.408602150537634,0.296296296296296,0.464285714285714,0.449438202247191,0.454545454545455,0.415094339622642,0.5,0.428571428571429,0.443396226415094,0.392857142857143,0.5,0.384615384615385,0.394736842105263,0, ,0.365671641791045,0.380952380952381,0.489795918367347,0.533333333333333,0.403225806451613,0.388888888888889,0.433962264150943,0.446808510638298,0.424657534246575,0.304347826086957,0.181818181818182, ,0.434599156118143,0.440789473684211,0.378504672897196,0.449074074074074,0.401913875598086,0.481132075471698,0.38961038961039,0.444134078212291,0.444794952681388,0.43010752688172,0.5, ,0.434782608695652,0.444444444444444,0.398071625344353
"Health credentials
 - Neither",259,,145,114, ,73,76,70,27,13, ,31,67,62,49,50, ,49,95,87,23,5, ,16,56,125,53,9, ,7,26,8,72,16,13,14,21,7,7,67,2,12,6,12,22,16,4,22,11,0, ,80,17,8,7,16,3,31,42,37,14,4, ,121,71,51,38,46,20,77,79,68,42,2, ,44,31,193
,26%,,30%,22%, ,26%,28%,25%,24%,25%, ,24%,30%,24%,23%,28%, ,0.193675889328063,0.247395833333333,0.333333333333333,0.264367816091954,0.294117647058824, ,0.195121951219512,0.20817843866171,0.302663438256659,0.294444444444444,0.157894736842105, ,0.583333333333333,0.247619047619048,0.333333333333333,0.235294117647059,0.280701754385965,0.245283018867925,0.318181818181818,0.225806451612903,0.259259259259259,0.25,0.250936329588015,0.181818181818182,0.226415094339623,0.333333333333333,0.19047619047619,0.207547169811321,0.285714285714286,0.25,0.188034188034188,0.289473684210526,0, ,0.298507462686567,0.26984126984127,0.163265306122449,0.155555555555556,0.258064516129032,0.166666666666667,0.292452830188679,0.223404255319149,0.253424657534247,0.304347826086957,0.363636363636364, ,0.255274261603376,0.233552631578947,0.238317757009346,0.175925925925926,0.220095693779904,0.188679245283019,0.25,0.220670391061453,0.214511041009464,0.225806451612903,0.2, ,0.239130434782609,0.215277777777778,0.265840220385675
"Health credentials
 - Not very impactful",118,,56,62, ,33,28,39,10,8, ,17,30,28,31,12, ,30,47,28,11,2, ,6,23,48,34,7, ,1,16,2,27,8,9,3,20,3,2,39,2,9,1,7,9,9,0,16,6,0, ,31,10,7,4,7,1,10,23,19,4,2, ,52,30,22,21,27,6,29,40,39,14,1, ,30,18,80
,12%,,11%,12%, ,12%,10%,14%,9%,15%, ,13%,13%,11%,15%,7%, ,0.118577075098814,0.122395833333333,0.10727969348659,0.126436781609195,0.117647058823529, ,0.0731707317073171,0.0855018587360595,0.116222760290557,0.188888888888889,0.12280701754386, ,0.0833333333333333,0.152380952380952,0.0833333333333333,0.0882352941176471,0.140350877192982,0.169811320754717,0.0681818181818182,0.21505376344086,0.111111111111111,0.0714285714285714,0.146067415730337,0.181818181818182,0.169811320754717,0.0555555555555556,0.111111111111111,0.0849056603773585,0.160714285714286,0,0.136752136752137,0.157894736842105,0, ,0.115671641791045,0.158730158730159,0.142857142857143,0.0888888888888889,0.112903225806452,0.0555555555555556,0.0943396226415094,0.122340425531915,0.13013698630137,0.0869565217391304,0.181818181818182, ,0.109704641350211,0.0986842105263158,0.102803738317757,0.0972222222222222,0.129186602870813,0.0566037735849057,0.0941558441558442,0.111731843575419,0.123028391167192,0.0752688172043011,0.1, ,0.16304347826087,0.125,0.110192837465565
"Health credentials
 - Not at all impactful",50,,24,26, ,16,13,12,8,1, ,1,11,16,13,9, ,16,11,8,12,3, ,2,12,8,9,19, ,2,8,3,14,4,4,1,5,4,2,7,1,3,1,2,6,4,0,4,1,0, ,21,1,2,3,1,1,3,9,7,0,2, ,12,12,16,11,8,2,11,12,13,6,0, ,8,8,36
,5%,,5%,5%, ,6%,5%,4%,7%,2%, ,1%,5%,6%,6%,5%, ,0.0632411067193676,0.0286458333333333,0.0306513409961686,0.137931034482759,0.176470588235294, ,0.024390243902439,0.0446096654275093,0.0193704600484262,0.05,0.333333333333333, ,0.166666666666667,0.0761904761904762,0.125,0.0457516339869281,0.0701754385964912,0.0754716981132075,0.0227272727272727,0.0537634408602151,0.148148148148148,0.0714285714285714,0.0262172284644195,0.0909090909090909,0.0566037735849057,0.0555555555555556,0.0317460317460317,0.0566037735849057,0.0714285714285714,0,0.0341880341880342,0.0263157894736842,0, ,0.0783582089552239,0.0158730158730159,0.0408163265306122,0.0666666666666667,0.0161290322580645,0.0555555555555556,0.0283018867924528,0.0478723404255319,0.0479452054794521,0,0.181818181818182, ,0.0253164556962025,0.0394736842105263,0.0747663551401869,0.0509259259259259,0.0382775119617225,0.0188679245283019,0.0357142857142857,0.0335195530726257,0.0410094637223975,0.032258064516129,0, ,0.0434782608695652,0.0555555555555556,0.0495867768595041
Humour - Very impactful ,176,,91,85, ,48,59,43,18,8, ,22,42,52,28,32, ,77,58,30,9,2, ,31,71,57,14,3, ,2,26,3,51,6,5,10,8,2,6,35,6,4,2,18,19,9,8,29,12,0, ,43,13,8,7,13,3,14,38,31,6,0, ,88,64,41,49,37,24,69,75,62,43,1, ,30,24,130
,18%,,19%,17%, ,17%,21%,15%,16%,15%, ,17%,19%,20%,13%,18%, ,0.304347826086957,0.151041666666667,0.114942528735632,0.103448275862069,0.117647058823529, ,0.378048780487805,0.263940520446097,0.138014527845036,0.0777777777777778,0.0526315789473684, ,0.166666666666667,0.247619047619048,0.125,0.166666666666667,0.105263157894737,0.0943396226415094,0.227272727272727,0.0860215053763441,0.0740740740740741,0.214285714285714,0.131086142322097,0.545454545454545,0.0754716981132075,0.111111111111111,0.285714285714286,0.179245283018868,0.160714285714286,0.5,0.247863247863248,0.315789473684211,0, ,0.16044776119403,0.206349206349206,0.163265306122449,0.155555555555556,0.209677419354839,0.166666666666667,0.132075471698113,0.202127659574468,0.212328767123288,0.130434782608696,0, ,0.185654008438819,0.210526315789474,0.191588785046729,0.226851851851852,0.177033492822967,0.226415094339623,0.224025974025974,0.209497206703911,0.195583596214511,0.231182795698925,0.1, ,0.16304347826087,0.166666666666667,0.179063360881543
Humour - Fairly Impactful,373,,195,178, ,103,86,106,52,26, ,58,96,85,80,54, ,94,171,85,21,2, ,31,118,164,51,9, ,4,43,10,126,19,19,14,30,5,7,113,3,22,9,23,37,24,5,50,11,0, ,96,24,17,18,25,7,40,77,53,15,1, ,182,125,77,77,91,48,115,144,119,61,2, ,74,50,266
,37%,,40%,35%, ,37%,31%,38%,46%,49%, ,45%,43%,33%,38%,31%, ,0.371541501976285,0.4453125,0.325670498084291,0.241379310344828,0.117647058823529, ,0.378048780487805,0.438661710037175,0.397094430992736,0.283333333333333,0.157894736842105, ,0.333333333333333,0.40952380952381,0.416666666666667,0.411764705882353,0.333333333333333,0.358490566037736,0.318181818181818,0.32258064516129,0.185185185185185,0.25,0.423220973782772,0.272727272727273,0.415094339622642,0.5,0.365079365079365,0.349056603773585,0.428571428571429,0.3125,0.427350427350427,0.289473684210526,0, ,0.358208955223881,0.380952380952381,0.346938775510204,0.4,0.403225806451613,0.388888888888889,0.377358490566038,0.409574468085106,0.363013698630137,0.326086956521739,0.0909090909090909, ,0.383966244725738,0.411184210526316,0.35981308411215,0.356481481481481,0.435406698564593,0.452830188679245,0.373376623376623,0.402234636871508,0.375394321766562,0.327956989247312,0.2, ,0.402173913043478,0.347222222222222,0.366391184573003
Humour - Neither,302,,139,163, ,91,87,86,23,15, ,29,58,92,60,63, ,46,115,108,26,7, ,16,57,135,74,20, ,3,25,8,90,17,15,16,35,9,12,83,2,16,4,19,35,12,1,21,8,0, ,90,18,16,14,12,4,40,49,41,17,1, ,154,77,67,65,51,26,78,95,96,54,2, ,52,45,221
,30%,,28%,32%, ,32%,32%,31%,20%,28%, ,22%,26%,35%,28%,36%, ,0.181818181818182,0.299479166666667,0.413793103448276,0.298850574712644,0.411764705882353, ,0.195121951219512,0.211895910780669,0.326876513317191,0.411111111111111,0.350877192982456, ,0.25,0.238095238095238,0.333333333333333,0.294117647058824,0.298245614035088,0.283018867924528,0.363636363636364,0.376344086021505,0.333333333333333,0.428571428571429,0.310861423220974,0.181818181818182,0.30188679245283,0.222222222222222,0.301587301587302,0.330188679245283,0.214285714285714,0.0625,0.179487179487179,0.210526315789474,0, ,0.335820895522388,0.285714285714286,0.326530612244898,0.311111111111111,0.193548387096774,0.222222222222222,0.377358490566038,0.26063829787234,0.280821917808219,0.369565217391304,0.0909090909090909, ,0.324894514767932,0.253289473684211,0.313084112149533,0.300925925925926,0.244019138755981,0.245283018867925,0.253246753246753,0.26536312849162,0.302839116719243,0.290322580645161,0.2, ,0.282608695652174,0.3125,0.304407713498623
Humour - Not very impactful,98,,39,59, ,31,28,27,10,2, ,16,22,21,24,15, ,21,33,27,14,3, ,3,21,42,25,6, ,1,7,2,30,12,8,3,18,3,1,29,0,7,2,3,7,8,2,12,3,0, ,23,5,6,2,9,4,9,16,12,7,5, ,34,23,17,13,22,6,31,35,31,21,3, ,23,20,66
,10%,,8%,12%, ,11%,10%,10%,9%,4%, ,12%,10%,8%,11%,9%, ,0.08300395256917,0.0859375,0.103448275862069,0.160919540229885,0.176470588235294, ,0.0365853658536585,0.0780669144981413,0.101694915254237,0.138888888888889,0.105263157894737, ,0.0833333333333333,0.0666666666666667,0.0833333333333333,0.0980392156862745,0.210526315789474,0.150943396226415,0.0681818181818182,0.193548387096774,0.111111111111111,0.0357142857142857,0.108614232209738,0,0.132075471698113,0.111111111111111,0.0476190476190476,0.0660377358490566,0.142857142857143,0.125,0.102564102564103,0.0789473684210526,0, ,0.0858208955223881,0.0793650793650794,0.122448979591837,0.0444444444444444,0.145161290322581,0.222222222222222,0.0849056603773585,0.0851063829787234,0.0821917808219178,0.152173913043478,0.454545454545455, ,0.0717299578059072,0.0756578947368421,0.0794392523364486,0.0601851851851852,0.105263157894737,0.0566037735849057,0.100649350649351,0.0977653631284916,0.0977917981072555,0.112903225806452,0.3, ,0.125,0.138888888888889,0.0909090909090909
Humour - Not at all impactful,53,,26,27, ,8,16,17,10,2, ,4,7,11,19,12, ,15,7,11,17,3, ,1,2,15,16,19, ,2,4,1,9,3,6,1,2,8,2,7,0,4,1,0,8,3,0,5,4,0, ,16,3,2,4,3,0,3,8,9,1,4, ,16,15,12,12,8,2,15,9,9,7,2, ,5,5,43
,5%,,5%,5%, ,3%,6%,6%,9%,4%, ,3%,3%,4%,9%,7%, ,0.0592885375494071,0.0182291666666667,0.0421455938697318,0.195402298850575,0.176470588235294, ,0.0121951219512195,0.00743494423791822,0.036319612590799,0.0888888888888889,0.333333333333333, ,0.166666666666667,0.0380952380952381,0.0416666666666667,0.0294117647058824,0.0526315789473684,0.113207547169811,0.0227272727272727,0.021505376344086,0.296296296296296,0.0714285714285714,0.0262172284644195,0,0.0754716981132075,0.0555555555555556,0,0.0754716981132075,0.0535714285714286,0,0.0427350427350427,0.105263157894737,0, ,0.0597014925373134,0.0476190476190476,0.0408163265306122,0.0888888888888889,0.0483870967741935,0,0.0283018867924528,0.0425531914893617,0.0616438356164384,0.0217391304347826,0.363636363636364, ,0.0337552742616034,0.0493421052631579,0.0560747663551402,0.0555555555555556,0.0382775119617225,0.0188679245283019,0.0487012987012987,0.0251396648044693,0.028391167192429,0.0376344086021505,0.2, ,0.0271739130434783,0.0347222222222222,0.059228650137741
Occasion based messages (ideas for how and when I can use the product) - Very impactful ,122,,65,57, ,31,36,36,11,8, ,19,27,37,21,18, ,53,49,18,0,2, ,33,60,26,2,1, ,0,19,1,30,6,7,9,10,1,5,20,3,2,1,15,17,8,6,23,6,0, ,21,12,7,10,8,3,13,23,17,8,0, ,62,40,30,43,35,25,61,57,49,33,0, ,20,18,90
,12%,,13%,11%, ,11%,13%,13%,10%,15%, ,15%,12%,14%,10%,10%, ,0.209486166007905,0.127604166666667,0.0689655172413793,0,0.117647058823529, ,0.402439024390244,0.223048327137546,0.062953995157385,0.0111111111111111,0.0175438596491228, ,0,0.180952380952381,0.0416666666666667,0.0980392156862745,0.105263157894737,0.132075471698113,0.204545454545455,0.10752688172043,0.037037037037037,0.178571428571429,0.0749063670411985,0.272727272727273,0.0377358490566038,0.0555555555555556,0.238095238095238,0.160377358490566,0.142857142857143,0.375,0.196581196581197,0.157894736842105,0, ,0.0783582089552239,0.19047619047619,0.142857142857143,0.222222222222222,0.129032258064516,0.166666666666667,0.122641509433962,0.122340425531915,0.116438356164384,0.173913043478261,0, ,0.130801687763713,0.131578947368421,0.14018691588785,0.199074074074074,0.167464114832536,0.235849056603774,0.198051948051948,0.159217877094972,0.154574132492114,0.17741935483871,0, ,0.108695652173913,0.125,0.12396694214876
Occasion based messages (ideas for how and when I can use the product) - Fairly Impactful,415,,185,230, ,116,109,107,58,25, ,55,99,104,86,71, ,120,178,95,19,3, ,31,134,187,55,8, ,4,46,13,148,22,24,16,31,7,10,129,2,24,13,23,37,24,6,47,13,0, ,110,24,20,15,28,6,55,78,57,19,3, ,209,136,85,87,97,47,135,159,142,87,2, ,85,60,292
,41%,,38%,45%, ,41%,39%,38%,51%,47%, ,43%,44%,40%,41%,40%, ,0.474308300395257,0.463541666666667,0.363984674329502,0.218390804597701,0.176470588235294, ,0.378048780487805,0.49814126394052,0.452784503631961,0.305555555555556,0.140350877192982, ,0.333333333333333,0.438095238095238,0.541666666666667,0.483660130718954,0.385964912280702,0.452830188679245,0.363636363636364,0.333333333333333,0.259259259259259,0.357142857142857,0.48314606741573,0.181818181818182,0.452830188679245,0.722222222222222,0.365079365079365,0.349056603773585,0.428571428571429,0.375,0.401709401709402,0.342105263157895,0, ,0.41044776119403,0.380952380952381,0.408163265306122,0.333333333333333,0.451612903225806,0.333333333333333,0.518867924528302,0.414893617021277,0.39041095890411,0.41304347826087,0.272727272727273, ,0.440928270042194,0.447368421052632,0.397196261682243,0.402777777777778,0.464114832535885,0.443396226415094,0.438311688311688,0.444134078212291,0.44794952681388,0.467741935483871,0.2, ,0.46195652173913,0.416666666666667,0.402203856749311
Occasion based messages (ideas for how and when I can use the product) - Neither,293,,153,140, ,94,76,85,21,17, ,36,71,68,61,57, ,54,100,99,33,7, ,11,56,147,61,17, ,6,25,4,87,22,12,12,30,7,10,83,1,15,3,14,34,16,3,25,15,0, ,84,15,12,12,21,5,26,60,38,16,4, ,147,80,57,61,50,25,69,101,81,48,4, ,51,45,214
,29%,,31%,27%, ,33%,28%,30%,19%,32%, ,28%,32%,26%,29%,32%, ,0.213438735177866,0.260416666666667,0.379310344827586,0.379310344827586,0.411764705882353, ,0.134146341463415,0.20817843866171,0.355932203389831,0.338888888888889,0.298245614035088, ,0.5,0.238095238095238,0.166666666666667,0.284313725490196,0.385964912280702,0.226415094339623,0.272727272727273,0.32258064516129,0.259259259259259,0.357142857142857,0.310861423220974,0.0909090909090909,0.283018867924528,0.166666666666667,0.222222222222222,0.320754716981132,0.285714285714286,0.1875,0.213675213675214,0.394736842105263,0, ,0.313432835820896,0.238095238095238,0.244897959183673,0.266666666666667,0.338709677419355,0.277777777777778,0.245283018867925,0.319148936170213,0.26027397260274,0.347826086956522,0.363636363636364, ,0.310126582278481,0.263157894736842,0.266355140186916,0.282407407407407,0.239234449760766,0.235849056603774,0.224025974025974,0.282122905027933,0.255520504731861,0.258064516129032,0.4, ,0.277173913043478,0.3125,0.294765840220386
Occasion based messages (ideas for how and when I can use the product) - Not very impactful,108,,51,57, ,30,30,35,11,2, ,14,19,29,27,19, ,16,40,33,16,3, ,5,16,38,37,12, ,0,10,2,29,4,6,5,16,3,3,25,4,8,0,8,11,4,1,15,2,0, ,32,9,4,4,3,2,7,19,23,3,2, ,39,30,27,16,21,7,28,31,30,12,2, ,21,17,77
,11%,,10%,11%, ,11%,11%,13%,10%,4%, ,11%,8%,11%,13%,11%, ,0.0632411067193676,0.104166666666667,0.126436781609195,0.183908045977011,0.176470588235294, ,0.0609756097560976,0.0594795539033457,0.0920096852300242,0.205555555555556,0.210526315789474, ,0,0.0952380952380952,0.0833333333333333,0.0947712418300654,0.0701754385964912,0.113207547169811,0.113636363636364,0.172043010752688,0.111111111111111,0.107142857142857,0.0936329588014981,0.363636363636364,0.150943396226415,0,0.126984126984127,0.10377358490566,0.0714285714285714,0.0625,0.128205128205128,0.0526315789473684,0, ,0.119402985074627,0.142857142857143,0.0816326530612245,0.0888888888888889,0.0483870967741935,0.111111111111111,0.0660377358490566,0.101063829787234,0.157534246575342,0.0652173913043478,0.181818181818182, ,0.0822784810126582,0.0986842105263158,0.126168224299065,0.0740740740740741,0.100478468899522,0.0660377358490566,0.0909090909090909,0.0865921787709497,0.0946372239747634,0.0645161290322581,0.2, ,0.114130434782609,0.118055555555556,0.106060606060606
Occasion based messages (ideas for how and when I can use the product) - Not at all impactful,64,,36,28, ,10,25,16,12,1, ,5,9,23,16,11, ,10,17,16,19,2, ,2,3,15,25,19, ,2,5,4,12,3,4,2,6,9,0,10,1,4,1,3,7,4,0,7,2,0, ,21,3,6,4,2,2,5,8,11,0,2, ,17,18,15,9,6,2,15,10,15,6,2, ,7,4,53
,6%,,7%,5%, ,4%,9%,6%,11%,2%, ,4%,4%,9%,8%,6%, ,0.0395256916996047,0.0442708333333333,0.0613026819923372,0.218390804597701,0.117647058823529, ,0.024390243902439,0.0111524163568773,0.036319612590799,0.138888888888889,0.333333333333333, ,0.166666666666667,0.0476190476190476,0.166666666666667,0.0392156862745098,0.0526315789473684,0.0754716981132075,0.0454545454545455,0.0645161290322581,0.333333333333333,0,0.0374531835205993,0.0909090909090909,0.0754716981132075,0.0555555555555556,0.0476190476190476,0.0660377358490566,0.0714285714285714,0,0.0598290598290598,0.0526315789473684,0, ,0.0783582089552239,0.0476190476190476,0.122448979591837,0.0888888888888889,0.032258064516129,0.111111111111111,0.0471698113207547,0.0425531914893617,0.0753424657534247,0,0.181818181818182, ,0.0358649789029536,0.0592105263157895,0.0700934579439252,0.0416666666666667,0.0287081339712919,0.0188679245283019,0.0487012987012987,0.0279329608938547,0.0473186119873817,0.032258064516129,0.2, ,0.0380434782608696,0.0277777777777778,0.0730027548209366
"Old Fashioned values
 - Very impactful ",144,,78,66, ,37,39,45,15,8, ,15,11,53,34,31, ,65,53,17,7,2, ,27,63,42,9,2, ,2,19,3,46,6,5,7,14,2,4,31,4,7,3,18,13,8,3,27,5,0, ,35,13,10,12,8,4,20,21,15,5,1, ,78,59,35,43,30,20,65,53,58,36,1, ,10,17,120
,14%,,16%,13%, ,13%,14%,16%,13%,15%, ,12%,5%,20%,16%,18%, ,0.256916996047431,0.138020833333333,0.0651340996168582,0.0804597701149425,0.117647058823529, ,0.329268292682927,0.234200743494424,0.101694915254237,0.05,0.0350877192982456, ,0.166666666666667,0.180952380952381,0.125,0.150326797385621,0.105263157894737,0.0943396226415094,0.159090909090909,0.150537634408602,0.0740740740740741,0.142857142857143,0.116104868913858,0.363636363636364,0.132075471698113,0.166666666666667,0.285714285714286,0.122641509433962,0.142857142857143,0.1875,0.230769230769231,0.131578947368421,0, ,0.130597014925373,0.206349206349206,0.204081632653061,0.266666666666667,0.129032258064516,0.222222222222222,0.188679245283019,0.111702127659574,0.102739726027397,0.108695652173913,0.0909090909090909, ,0.164556962025316,0.194078947368421,0.163551401869159,0.199074074074074,0.143540669856459,0.188679245283019,0.211038961038961,0.14804469273743,0.182965299684543,0.193548387096774,0.1, ,0.0543478260869565,0.118055555555556,0.165289256198347
"Old Fashioned values
 - Fairly Impactful",318,,148,170, ,78,92,94,41,13, ,33,67,84,70,64, ,101,111,84,20,2, ,34,101,137,36,10, ,1,41,6,104,19,18,9,25,4,7,91,3,14,6,15,34,25,5,36,13,0, ,94,20,15,11,17,4,32,61,40,21,3, ,165,109,69,65,64,36,107,117,92,69,3, ,48,44,237
